,jordkvalitet,kartleggingsmetode,verifiseringsdato,målemetode,nøyaktighet,fylkeid,komid
473,2,J,20190211000000,0,0,42,4204
474,2,J,20190211000000,0,0,42,4204
475,2,J,20190211000000,0,0,42,4204
476,2,J,20190211000000,0,0,42,4204
477,1,J,20190211000000,0,0,42,4204
478,2,J,20190211000000,0,0,42,4204
479,1,J,20190211000000,0,0,42,4204
480,1,J,20190211000000,0,0,42,4204
481,1,J,20190211000000,0,0,42,4204
482,1,J,20190211000000,0,0,42,4204
483,2,J,20190211000000,0,0,42,4204
484,1,J,20190211000000,0,0,42,4204
485,2,J,20190211000000,0,0,42,4204
486,2,J,20190211000000,0,0,42,4204
487,2,J,20190211000000,0,0,42,4204
488,1,J,20190211000000,0,0,42,4204
489,2,J,20190211000000,82,0,42,4204
490,2,J,20190211000000,82,0,42,4204
491,2,J,20190211000000,0,0,42,4204
492,1,J,20190211000000,0,0,42,4204
493,2,J,20190211000000,0,0,42,4204
494,2,J,20190211000000,0,0,42,4204
495,2,J,20190211000000,0,0,42,4204
496,2,J,20190211000000,0,0,42,4204
497,2,J,20190211000000,0,0,42,4204
498,2,J,20190211000000,0,0,42,4204
499,2,J,20190211000000,82,0,42,4204
500,2,J,20190211000000,0,0,42,4204
501,2,J,20190211000000,0,0,42,4204
502,2,J,20190211000000,0,0,42,4204
503,1,J,20190211000000,0,0,42,4204
504,1,J,20190211000000,0,0,42,4204
505,1,J,20190211000000,0,0,42,4204
506,2,J,20190211000000,0,0,42,4204
507,1,J,20190211000000,0,0,42,4204
508,1,J,20190211000000,82,0,42,4204
509,2,J,20190211000000,82,0,42,4204
510,2,J,20190211000000,0,0,42,4204
511,2,J,20190211000000,0,0,42,4204
512,2,J,20190211000000,0,0,42,4204
513,1,J,20190211000000,0,0,42,4204
514,1,J,20190211000000,0,0,42,4204
515,2,J,20190211000000,0,0,42,4204
516,1,J,20190211000000,0,0,42,4204
517,1,J,20190211000000,0,0,42,4204
518,1,J,20190211000000,82,0,42,4204
519,1,J,20190211000000,0,0,42,4204
520,2,J,20190211000000,0,0,42,4204
521,1,J,20190211000000,0,0,42,4204
522,1,J,20190211000000,0,0,42,4204
523,1,J,20190211000000,0,0,42,4204
524,1,J,20190211000000,82,0,42,4204
525,1,J,20190211000000,0,0,42,4204
526,1,J,20190211000000,82,0,42,4204
527,1,J,20190211000000,0,0,42,4204
528,1,J,20190211000000,0,0,42,4204
529,1,J,20190211000000,0,0,42,4204
530,1,J,20190211000000,0,0,42,4204
531,1,J,20190211000000,0,0,42,4204
532,1,J,20190211000000,0,0,42,4204
533,1,J,20190211000000,0,0,42,4204
534,1,J,20190211000000,0,0,42,4204
535,1,J,20190211000000,0,0,42,4204
536,1,J,20190211000000,0,0,42,4204
537,2,J,20190211000000,0,0,42,4204
538,2,J,20190211000000,0,0,42,4204
539,2,J,20190211000000,0,0,42,4204
540,1,J,20190211000000,0,0,42,4204
541,1,J,20190211000000,0,0,42,4204
542,2,J,20190211000000,0,0,42,4204
543,1,J,20190211000000,0,0,42,4204
544,1,J,20190211000000,82,0,42,4204
545,1,J,20190211000000,0,0,42,4204
546,2,J,20190211000000,0,0,42,4204
547,1,J,20190211000000,0,0,42,4204
548,1,J,20190211000000,0,0,42,4204
549,1,J,20190211000000,0,0,42,4204
550,2,J,20190211000000,82,0,42,4204
551,2,J,20190211000000,0,0,42,4204
552,2,J,20190211000000,82,0,42,4204
553,1,J,20190211000000,0,0,42,4204
554,1,J,20190211000000,0,0,42,4204
555,1,J,20190211000000,82,0,42,4204
556,2,J,20190211000000,0,0,42,4204
557,1,J,20190211000000,0,0,42,4204
558,1,J,20190211000000,82,0,42,4204
559,1,J,20190211000000,0,0,42,4204
560,1,J,20190211000000,0,0,42,4204
561,2,J,20190211000000,0,0,42,4204
562,2,J,20190211000000,0,0,42,4204
563,1,J,20190211000000,0,0,42,4204
564,1,J,20190211000000,0,0,42,4204
565,1,J,20190211000000,0,0,42,4204
566,1,J,20190211000000,0,0,42,4204
567,1,J,20190211000000,0,0,42,4204
568,1,J,20190211000000,0,0,42,4204
569,1,J,20190211000000,0,0,42,4204
570,2,J,20190211000000,82,0,42,4204
571,1,J,20190211000000,0,0,42,4204
572,1,J,20190211000000,0,0,42,4204
573,2,J,20190211000000,0,0,42,4204
574,2,J,20190211000000,0,0,42,4204
575,2,J,20190211000000,0,0,42,4204
576,1,J,20190211000000,0,0,42,4204
577,1,J,20190211000000,0,0,42,4204
578,1,J,20190211000000,0,0,42,4204
579,1,J,20190211000000,0,0,42,4204
580,3,J,20190211000000,0,0,42,4204
581,1,J,20190211000000,0,0,42,4204
582,2,J,20190211000000,0,0,42,4204
583,1,J,20190211000000,0,0,42,4204
584,1,J,20190211000000,0,0,42,4204
585,1,J,20190211000000,0,0,42,4204
586,2,J,20190211000000,0,0,42,4204
587,1,J,20190211000000,0,0,42,4204
588,2,J,20190211000000,0,0,42,4204
589,2,J,20190211000000,0,0,42,4204
590,2,J,20190211000000,0,0,42,4204
591,1,J,20190211000000,0,0,42,4204
592,1,J,20190211000000,0,0,42,4204
593,1,J,20190211000000,0,0,42,4204
594,2,J,20190211000000,0,0,42,4204
595,1,J,20190211000000,0,0,42,4204
596,2,J,20190211000000,0,0,42,4204
597,2,J,20190211000000,0,0,42,4204
598,2,J,20190211000000,0,0,42,4204
599,2,J,20190211000000,0,0,42,4204
600,2,J,20190211000000,0,0,42,4204
601,2,J,20190211000000,0,0,42,4204
602,3,J,20190211000000,0,0,42,4204
603,2,J,20190211000000,0,0,42,4204
604,2,J,20190211000000,0,0,42,4204
605,1,J,20190211000000,0,0,42,4204
606,1,J,20190211000000,0,0,42,4204
607,2,J,20190211000000,0,0,42,4204
608,1,J,20190211000000,0,0,42,4204
609,2,J,20190211000000,0,0,42,4204
